sample_id	subject_id	clone_id	seq_count	seq_freq
P05_FNA_2_60_Y1	P05	364	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	369	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	371	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	372	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	374	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	382	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	384	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	396	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	397	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	403	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	405	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	415	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	42	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	426	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	430	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	431	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	432	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	438	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	440	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	441	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	446	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	448	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	450	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	454	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	46	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	463	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	464	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	465	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	467	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	469	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	47	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	474	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	481	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	482	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	490	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	493	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	494	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	498	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	500	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	507	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	51	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	510	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	514	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	530	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	537	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	539	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	544	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	546	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	549	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	55	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	554	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	56	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	561	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	562	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	568	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	569	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	57	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	573	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	575	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	577	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	584	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	589	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	597	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	61	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	611	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	616	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	617	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	622	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	624	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	625	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	639	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	642	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	647	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	648	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	65	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	651	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	657	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	661	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	664	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	665	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	667	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	672	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	673	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	674	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	677	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	678	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	686	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	690	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	695	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	697	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	698	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	703	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	705	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	714	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	75	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	93	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	96	1	0.0021505376344086
P05_FNA_2_60_Y1	P05	98	1	0.0021505376344086
P05_FNA_3_12_Y1	P05	106	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	107	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	113	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	114	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	118	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	122	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	134	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	136	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	137	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	146	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	147	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	150	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	154	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	155	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	156	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	16	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	160	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	161	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	163	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	175	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	181	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	187	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	2	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	218	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	226	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	236	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	24	1	0.00409836065573771
